Character,Gender,speaking_turns,Total_Words,radius,diameter,Movie,Color
Stormtrooper 18,male,1,4,2,4,Rogue One,#1f77b4
Stormtrooper 2,male,1,4,2,4,Rogue One,#1f77b4
Stormtrooper 3,male,1,7,2.645751311,5.291502622,Rogue One,#1f77b4
Stormtrooper 4,male,2,7,2.645751311,5.291502622,Rogue One,#1f77b4
Stormtrooper 5,male,2,23,4.795831523,9.591663047,Rogue One,#1f77b4
Stormtrooper 6,male,1,6,2.449489743,4.898979486,Rogue One,#1f77b4
Stormtrooper 7,male,1,7,2.645751311,5.291502622,Rogue One,#1f77b4
Stormtrooper 8,male,1,3,1.732050808,3.464101615,Rogue One,#1f77b4
Stormtrooper 9,male,1,3,1.732050808,3.464101615,Rogue One,#1f77b4
Technician,male,1,6,2.449489743,4.898979486,Rogue One,#1f77b4
Tivik,male,11,106,10.29563014,20.59126028,Rogue One,#1f77b4
Unknown Senator,male,1,4,2,4,Rogue One,#1f77b4
Unknown Senator 2,male,1,5,2.236067977,4.472135955,Rogue One,#1f77b4
Vader,male,9,96,9.797958971,19.59591794,Rogue One,#1f77b4
Vader's Assistant,male,1,6,2.449489743,4.898979486,Rogue One,#1f77b4
Buddy,male,26,169,13,26,Secret Life Of Pets,#1f77b4
Cat's Mom,female,1,2,1.414213562,2.828427125,Secret Life Of Pets,#e377c2
Chloe,female,27,284,16.85229955,33.70459909,Secret Life Of Pets,#e377c2
Chloe's Mom,female,1,7,2.645751311,5.291502622,Secret Life Of Pets,#e377c2
Derick,male,4,16,4,8,Secret Life Of Pets,#1f77b4
Dogcatcher 1,male,8,47,6.8556546,13.7113092,Secret Life Of Pets,#1f77b4
Dogcatcher 2,male,8,41,6.403124237,12.80624847,Secret Life Of Pets,#1f77b4
Dragon,male,1,3,1.732050808,3.464101615,Secret Life Of Pets,#1f77b4
Duke,male,102,855,29.24038303,58.48076607,Secret Life Of Pets,#1f77b4
Female Corgi,female,1,4,2,4,Secret Life Of Pets,#e377c2
Female Dog,female,1,2,1.414213562,2.828427125,Secret Life Of Pets,#e377c2
Fernando,male,2,27,5.196152423,10.39230485,Secret Life Of Pets,#1f77b4
Fluffy Cat,male,3,36,6,12,Secret Life Of Pets,#1f77b4
Gidget,female,58,579,24.06241883,48.12483766,Secret Life Of Pets,#e377c2
Gidget's Mom,female,1,6,2.449489743,4.898979486,Secret Life Of Pets,#e377c2
Gino's Dad,male,1,3,1.732050808,3.464101615,Secret Life Of Pets,#1f77b4
Girl Dog Walker,female,2,6,2.449489743,4.898979486,Secret Life Of Pets,#e377c2
Guillermo,male,4,21,4.582575695,9.16515139,Secret Life Of Pets,#1f77b4
Guy Playing Fetch,male,1,2,1.414213562,2.828427125,Secret Life Of Pets,#1f77b4
Katie,female,12,234,15.29705854,30.59411708,Secret Life Of Pets,#e377c2
Leonard's Dad,male,2,15,3.872983346,7.745966692,Secret Life Of Pets,#1f77b4
Little Girl,female,4,30,5.477225575,10.95445115,Secret Life Of Pets,#e377c2
Male Cat,male,1,2,1.414213562,2.828427125,Secret Life Of Pets,#1f77b4
Male Cat 2,male,2,5,2.236067977,4.472135955,Secret Life Of Pets,#1f77b4
Male Dog,male,1,4,2,4,Secret Life Of Pets,#1f77b4
Male Golden Retriever,male,1,5,2.236067977,4.472135955,Secret Life Of Pets,#1f77b4
Male Turtle,male,1,2,1.414213562,2.828427125,Secret Life Of Pets,#1f77b4
Man,male,1,2,1.414213562,2.828427125,Secret Life Of Pets,#1f77b4
Maria,female,3,15,3.872983346,7.745966692,Secret Life Of Pets,#e377c2
Max,male,152,1659,40.73082371,81.46164742,Secret Life Of Pets,#1f77b4
Mel,male,25,201,14.17744688,28.35489376,Secret Life Of Pets,#1f77b4
Mel's Dad,male,1,3,1.732050808,3.464101615,Secret Life Of Pets,#1f77b4
Nitro,male,2,22,4.69041576,9.38083152,Secret Life Of Pets,#1f77b4
Norman,male,14,69,8.306623863,16.61324773,Secret Life Of Pets,#1f77b4
Ozone,male,11,124,11.13552873,22.27105745,Secret Life Of Pets,#1f77b4
Peanut,male,3,11,3.31662479,6.633249581,Secret Life Of Pets,#1f77b4
Peppy's Dad,male,1,2,1.414213562,2.828427125,Secret Life Of Pets,#1f77b4
Pops,male,27,261,16.15549442,32.31098884,Secret Life Of Pets,#1f77b4
Retractable Leash Dog,male,1,8,2.828427125,5.656854249,Secret Life Of Pets,#1f77b4
Runty's Dad,male,1,2,1.414213562,2.828427125,Secret Life Of Pets,#1f77b4
Seamonkey,male,1,10,3.16227766,6.32455532,Secret Life Of Pets,#1f77b4
Shelly's Mom,female,1,4,2,4,Secret Life Of Pets,#e377c2
Snowball,male,55,1045,32.32645975,64.6529195,Secret Life Of Pets,#1f77b4
Sweetpea's Dad,male,1,2,1.414213562,2.828427125,Secret Life Of Pets,#1f77b4
Tattoo,male,6,49,7,14,Secret Life Of Pets,#1f77b4
Taxi Driver,male,1,1,1,2,Secret Life Of Pets,#1f77b4
Tiberius,male,27,275,16.58312395,33.1662479,Secret Life Of Pets,#1f77b4
Woman,female,2,5,2.236067977,4.472135955,Secret Life Of Pets,#e377c2
Admiral Olsen,male,2,17,4.123105626,8.246211251,Suicide Squad,#1f77b4
Ames,male,1,8,2.828427125,5.656854249,Suicide Squad,#1f77b4
Angelo,male,6,47,6.8556546,13.7113092,Suicide Squad,#1f77b4
Batman,male,6,54,7.348469228,14.69693846,Suicide Squad,#1f77b4
Bodyguard,male,1,5,2.236067977,4.472135955,Suicide Squad,#1f77b4
Bodyguard 2,female,1,2,1.414213562,2.828427125,Suicide Squad,#e377c2
Bride,female,1,8,2.828427125,5.656854249,Suicide Squad,#e377c2
Businessman,male,1,11,3.31662479,6.633249581,Suicide Squad,#1f77b4
Captain Boomerang,male,30,326,18.05547009,36.11094017,Suicide Squad,#1f77b4
Casino Boss,male,1,23,4.795831523,9.591663047,Suicide Squad,#1f77b4
Dexter Tolliver,male,15,241,15.5241747,31.04834939,Suicide Squad,#1f77b4
Diablo,male,31,374,19.33907961,38.67815921,Suicide Squad,#1f77b4
Diablo's Wife,female,4,29,5.385164807,10.77032961,Suicide Squad,#e377c2
Dispatcher,female,1,6,2.449489743,4.898979486,Suicide Squad,#e377c2
Enchantress,female,23,265,16.2788206,32.55764119,Suicide Squad,#e377c2
Female Assistant,female,3,23,4.795831523,9.591663047,Suicide Squad,#e377c2
Flag,male,118,1218,34.89985673,69.79971347,Suicide Squad,#1f77b4
Flash,male,1,5,2.236067977,4.472135955,Suicide Squad,#1f77b4
Floyd,male,127,1432,37.84177586,75.68355171,Suicide Squad,#1f77b4
General,male,7,60,7.745966692,15.49193338,Suicide Squad,#1f77b4
General 2,male,1,9,3,6,Suicide Squad,#1f77b4
Griggs,male,36,500,22.36067977,44.72135955,Suicide Squad,#1f77b4
Guard 2,male,2,18,4.242640687,8.485281374,Suicide Squad,#1f77b4
Guard 3,male,1,7,2.645751311,5.291502622,Suicide Squad,#1f77b4
Guard 4,male,1,5,2.236067977,4.472135955,Suicide Squad,#1f77b4
Guard at Gate,male,1,12,3.464101615,6.92820323,Suicide Squad,#1f77b4
Harley,female,87,602,24.53568829,49.07137659,Suicide Squad,#e377c2
Incubus,male,6,23,4.795831523,9.591663047,Suicide Squad,#1f77b4
Joker,male,32,258,16.0623784,32.12475681,Suicide Squad,#1f77b4
Jonny Frost,male,6,76,8.717797887,17.43559577,Suicide Squad,#1f77b4
June,female,12,83,9.110433579,18.22086716,Suicide Squad,#e377c2
Katana,female,6,38,6.164414003,12.32882801,Suicide Squad,#e377c2
Killer Croc,male,9,42,6.480740698,12.9614814,Suicide Squad,#1f77b4
Mafia Guy,male,1,5,2.236067977,4.472135955,Suicide Squad,#1f77b4
Male Dispatch,male,1,8,2.828427125,5.656854249,Suicide Squad,#1f77b4
Man in Flashback,male,2,7,2.645751311,5.291502622,Suicide Squad,#1f77b4
Medic's Wife,female,1,13,3.605551275,7.211102551,Suicide Squad,#e377c2
Medical Officer,male,5,15,3.872983346,7.745966692,Suicide Squad,#1f77b4
Medical Officer 2,female,2,5,2.236067977,4.472135955,Suicide Squad,#e377c2
Medical Officer 3,male,1,2,1.414213562,2.828427125,Suicide Squad,#1f77b4
Military Extra,male,2,18,4.242640687,8.485281374,Suicide Squad,#1f77b4
Military on Radio,male,2,18,4.242640687,8.485281374,Suicide Squad,#1f77b4
Military Personnel,male,3,13,3.605551275,7.211102551,Suicide Squad,#1f77b4
Monster T,male,6,53,7.280109889,14.56021978,Suicide Squad,#1f77b4
Nurse,female,2,12,3.464101615,6.92820323,Suicide Squad,#e377c2
Physician,male,2,7,2.645751311,5.291502622,Suicide Squad,#1f77b4
Pilot,male,1,16,4,8,Suicide Squad,#1f77b4
Police Officer,male,1,19,4.358898944,8.717797887,Suicide Squad,#1f77b4
Police Officer 2,male,1,11,3.31662479,6.633249581,Suicide Squad,#1f77b4
SEAL,male,1,5,2.236067977,4.472135955,Suicide Squad,#1f77b4
Seal 1,male,5,24,4.898979486,9.797958971,Suicide Squad,#1f77b4
Seal 2,male,1,7,2.645751311,5.291502622,Suicide Squad,#1f77b4
Seal 3,male,1,2,1.414213562,2.828427125,Suicide Squad,#1f77b4
Seal 4,male,1,2,1.414213562,2.828427125,Suicide Squad,#1f77b4
Seals,male,1,3,1.732050808,3.464101615,Suicide Squad,#1f77b4
Slipknot,male,4,12,3.464101615,6.92820323,Suicide Squad,#1f77b4
Soldier on Radio,male,4,15,3.872983346,7.745966692,Suicide Squad,#1f77b4
Unknown Assistant,male,1,2,1.414213562,2.828427125,Suicide Squad,#1f77b4
Unknown Man,male,1,13,3.605551275,7.211102551,Suicide Squad,#1f77b4
Unknown Men,male,1,9,3,6,Suicide Squad,#1f77b4
Unknown soldier,male,3,3,1.732050808,3.464101615,Suicide Squad,#1f77b4
Unknown Soldier,male,3,44,6.633249581,13.26649916,Suicide Squad,#1f77b4
Van Driver,male,2,30,5.477225575,10.95445115,Suicide Squad,#1f77b4
Waller,female,79,1210,34.78505426,69.57010852,Suicide Squad,#e377c2
Zoe,female,12,131,11.44552314,22.89104628,Suicide Squad,#e377c2
